i; Xi; f(Xi); S; Lambda; |Xi - Xi-1|; |Yi - Yi-1|; |fi - fi-1|; Angel above X and S; Gradient; Eta 1 stroka; Eta 2 stroka
11; -0.871862 0.768684; 3.511162; 0.909365 -1.620326; 0.218345; 0.022873; 0.010250; 0.256245; 2.017173; -0.710543 1.731948; 0.240567 -0.426359; -0.426359 0.760635
12; -0.673307 0.414894; 2.947783; 13.589130 7.682743; 0.001845; 0.198556; 0.353791; 0.563379; 2.804804; -13.589130 -7.682743; 1.000000 0.000000; 0.000000 1.000000
13; -0.648239 0.429066; 2.724528; 1.198234 -1.599417; 0.159015; 0.025068; 0.014173; 0.223256; 2.074785; -1.021405 1.731948; 0.360847 -0.479035; -0.479035 0.640971
14; -0.457701 0.174734; 2.245690; 9.325873 6.972201; 0.002860; 0.190538; 0.254332; 0.478838; 2.798458; -9.325873 -6.972201; 1.000000 0.000000; 0.000000 1.000000
15; -0.431028 0.194675; 2.055745; 1.638128 -1.488303; 0.108728; 0.026673; 0.019941; 0.189945; 2.134929; -1.376677 1.776357; 0.549547 -0.496286; -0.496286 0.453219
16; -0.252917 0.032854; 1.666600; 5.639933 6.217249; 0.004366; 0.178111; 0.161821; 0.389145; 2.828308; -5.639933 -6.217249; 1.000000 0.000000; 0.000000 1.000000
17; -0.228294 0.059997; 1.514915; 2.033824 -1.013964; 0.083189; 0.024622; 0.027143; 0.151685; 2.178365; -1.754152 1.576517; 0.802627 -0.397011; -0.397011 0.201423
18; -0.059104 -0.024353; 1.199241; 2.775558 5.573320; 0.005604; 0.169191; 0.084350; 0.315674; 2.936101; -2.775558 -5.573320; 1.000000 0.000000; 0.000000 1.000000
19; -0.043551 0.006878; 1.091479; 2.086018 -0.246676; 0.076296; 0.015553; 0.031230; 0.107762; 2.423687; -1.998401 0.999201; 0.986692 -0.114303; -0.114303 0.018267
20; 0.115605 -0.011943; 0.846201; 0.599520 5.062617; 0.005360; 0.159155; 0.018820; 0.245278; 3.102671; -0.599520 -5.062617; 1.000000 0.000000; 0.000000 1.000000
21; 0.118818 0.015191; 0.776597; 1.678711 0.387904; 0.091090; 0.003213; 0.027134; 0.069604; 1.555867; -1.820766 0.222045; 0.948794 0.219867; 0.219867 0.055944
22; 0.271732 0.050526; 0.584722; -1.065814 4.662937; 0.004166; 0.152914; 0.035334; 0.191875; 0.099922; 1.065814 -4.662937; 1.000000 0.000000; 0.000000 1.000000
23; 0.267292 0.069953; 0.537084; 1.136002 0.618588; 0.127471; 0.004440; 0.019427; 0.047638; 1.611667; -1.310063 -0.299760; 0.771271 0.418962; 0.418962 0.232589
24; 0.412100 0.148805; 0.389816; -2.287059 4.202194; 0.003092; 0.144808; 0.078852; 0.147268; 0.242667; 2.287059 -4.202194; 1.000000 0.000000; 0.000000 1.000000
25; 0.405027 0.161800; 0.354498; 0.708024 0.586537; 0.191595; 0.007072; 0.012995; 0.035319; 1.722697; -0.821565 -0.449640; 0.593671 0.489914; 0.489914 0.409308
26; 0.540681 0.274177; 0.243948; -3.011480 3.627654; 0.002347; 0.135654; 0.112378; 0.110550; 0.311772; 3.011480 -3.627654; 1.000000 0.000000; 0.000000 1.000000
27; 0.533614 0.282691; 0.217938; 0.431528 0.470618; 0.291419; 0.007067; 0.008513; 0.026010; 1.794342; -0.496825 -0.410783; 0.457684 0.496951; 0.496951 0.544619
28; 0.659369 0.419838; 0.138320; -3.264056 2.980949; 0.001840; 0.125755; 0.137147; 0.079618; 0.341525; 3.264056 -2.980949; 1.000000 0.000000; 0.000000 1.000000
29; 0.653363 0.425322; 0.120401; 0.252766 0.336103; 0.444600; 0.006006; 0.005485; 0.017919; 1.834510; -0.284495 -0.312250; 0.362258 0.479442; 0.479442 0.639565
30; 0.765743 0.574754; 0.068353; -3.089196 2.320366; 0.001500; 0.112380; 0.149432; 0.052048; 0.348925; 3.089196 -2.320366; 1.000000 0.000000; 0.000000 1.000000
31; 0.761109 0.578235; 0.057180; 0.142559 0.219275; 0.659992; 0.004635; 0.003481; 0.011174; 1.853499; -0.157513 -0.209555; 0.298059 0.456258; 0.456258 0.703435
32; 0.855196 0.722955; 0.028034; -2.584738 1.679906; 0.001276; 0.094088; 0.144719; 0.029145; 0.344625; 2.584738 -1.679906; 1.000000 0.000000; 0.000000 1.000000
33; 0.851897 0.725099; 0.021974; 0.075163 0.128903; 0.990921; 0.003299; 0.002144; 0.006060; 1.863466; -0.080838 -0.125594; 0.254635 0.434565; 0.434565 0.746639
34; 0.926377 0.852832; 0.008276; -1.822500 1.067896; 0.001133; 0.074481; 0.127732; 0.013698; 0.337731; 1.822500 -1.067896; 1.000000 0.000000; 0.000000 1.000000
35; 0.924312 0.854042; 0.005738; 0.034313 0.063429; 1.428656; 0.002065; 0.001210; 0.002537; 1.867482; -0.036603 -0.062190; 0.227233 0.418000; 0.418000 0.773899
36; 0.973333 0.944659; 0.001450; -1.008785 0.543142; 0.001040; 0.049021; 0.090618; 0.004289; 0.329011; 1.008785 -0.543142; 1.000000 0.000000; 0.000000 1.000000
37; 0.972284 0.945224; 0.000769; 0.011516 0.022572; 2.279027; 0.001049; 0.000565; 0.000680; 1.877240; -0.012024 -0.022313; 0.207355 0.404394; 0.404394 0.793685
38; 0.998530 0.996666; 0.000018; -0.155457 0.079197; 0.001000; 0.026246; 0.051442; 0.000752; 0.327725; 0.155457 -0.079197; 1.000000 0.000000; 0.000000 1.000000
39; 0.998374 0.996745; 0.000003; 0.000649 0.001300; 2.504368; 0.000156; 0.000079; 0.000015; 1.885951; -0.000656 -0.001296; 0.200158 0.399117; 0.399117 0.800843
40; 0.999999 1.000001; 0.000000; 0.001063 -0.000530; 0.000999; 0.001624; 0.003255; 0.000003; 0.323366; -0.001063 0.000530; 1.000000 0.000000; 0.000000 1.000000
41; 1.000000 1.000000; 0.000000; ; ; 0.000001; 0.000001; 0.000000; 1.248247; 0.000000 -0.000000
